"chicagoDH","word","n","total","tf","idf","tf_idf"
"c10","thinking",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","transition",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","transport",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","transportation",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","uncertain",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","uncertainty",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","uneven",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","unprecedented",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","unswayed",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","variable",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","viable",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","views",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","vitally",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","waking",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","walkouts",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","war",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","wave",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","worried",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","worrisome",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","yacht",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","yale",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c2","10,000",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","100,000",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","2.7",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","3",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","30,000",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","388",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","4.9",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","450",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","actions",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","adds",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","administration",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","affected",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","affecting",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","africa",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","allowed",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","ambition",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","ambitious",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","analyses",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","analysis",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","analyze",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","analyzed",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","arrest",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","atmospheric",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","attention",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","attribute",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","august",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","author",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","baked",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","base",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","bills",1,899,0.00111234705228031,0.916290731874155,0.00101923329463199
"c2","blackouts",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","body",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","borne",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","breathing",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","camps",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","celsius",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","chapter",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","china",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","colleagues",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","college",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","combined",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","commons",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","concluded",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
"c2","conclusion",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","congressional",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","crop",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","damage",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","data",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","deadly",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","decade",1,899,0.00111234705228031,1.20397280432594,0.00133923559991762
"c2","deficit",1,899,0.00111234705228031,1.6094379124341,0.00179025351772425
